Publishing Strategy,Owner,Dataset ID,Name,Notes,Description,Feature Type,Geographic unit,Publishing Department,Type,Url,Data change frequency,Inventory ID,Tags,Category,RowId,DataSrcLink,SrcRecordsCnt,DatasetRecordsCnt,fourXFour,isLoaded,LoadNotes
Automate Geo Natively,mikewynne,2hkn-vsqr,Special Use Districts,Similar to special use districts,The Special Use Districts are a component of the Zoning Map which in turn is a key component of the San Francisco Planning Code. The Zoning Map comprises: - Zoning Districts - Height and Bulk Districts - Special Use Districts - Preservation Districts - Coastal Zone Area - Special Sign Districts The official Zoning Map can be found in the San Francisco Planning Code: http://planningcode.sfplanning.org (click on the links under ZONING MAPS on the left navigation column).,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/2hkn-vsqr,Quarterly,CPC-0010,,,,,,,,,
Automate Geo Natively,mikewynne,fpr2-m7in,Parcels With Planning Department Zoning,"I assume this gets updated as zoning changes, so should be automated as well",This dataset contains every parcel in San Francisco and each parcel's zoning.  Retired parcels are flagged in the datemap_dr field.  The zip file contains a GIS Shapefile.  The .dbf file can be opened in most spreadsheet or database software.  Dataset is updated every night.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/fpr2-m7in,Daily,CPC-0120,,,,,,,,,
Automate Geo Natively,mikewynne,afm6-p4hm,Historic Resources,"I think this would likely change in an ad hoc fashion as well, so good to keep this syncing on a nightly schedule","GIS (shapefile) data including a CEQA category of A, B or C for every parcel in San Francisco.  A: Historic Resource present on the parcel; B: Unknown; C: Historic Resource not present on the parcel.  The Historic Resource status shown is tentative, to confirm the status of your property please speak to a Preservation Technical Specialist at the Planning Department. Tel: 415-558-6377; Email: pic@sfgov.org.  Further information can be found here: http://www.sf-planning.org/Modules/ShowDocument.aspx?documentid=5340",Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/afm6-p4hm,Daily,CPC-0138,,,,,,,,,
Automate Geo Natively,mikewynne,qph8-zwpu,Special Sign Districts,Similar to zoning,The Special Sign Districts are a component of the Zoning Map which in turn is a key component of the San Francisco Planning Code. The Zoning Map comprises: - Zoning Districts - Height and Bulk Districts - Special Use Districts - Preservation Districts - Coastal Zone Area - Special Sign Districts The official Zoning Map can be found in the San Francisco Planning Code: http://planningcode.sfplanning.org (click on the links under ZONING MAPS on the left navigation column).,Line,Intersection or street segment,Planning,external dataset,https://data.sfgov.org/d/qph8-zwpu,As needed,CPC-0011,,,,,,,,,
Automate Geo Natively,mikewynne,ygmy-xg8h,Landmarks and Landmark Districts (as listed in Article 10 of the San Francisco Planning Code),,Landmarks and Landmark Districts as defined and listed in Article 10 of the San Francisco Planning Code (http://planningcode.sfplanning.org).  Data are in zipped GIS shapefile format.  A map of these Landmarks can be found here: http://www.sf-planning.org/index.aspx?page=3313,Polygon,Other,Planning,external dataset,https://data.sfgov.org/d/ygmy-xg8h,As needed,CPC-0017,,,,,,,,,
Automate Geo Natively,mikewynne,zsre-apvm,Open Spaces - City Planning,"I'm not sure how this relates to Rec and Park's open space dataset, but I assume maybe this one is inclusive of all open spaces regardless of jurisdiction.",Map of publicly accessible open spaces in San Francisco,Polygon,Other,Planning,external dataset,https://data.sfgov.org/d/zsre-apvm,As needed,CPC-0019,,,,,,,,,
Automate Geo Natively,sfmtaData,qfjw-f9af,Regularly scheduled tow-away zone GIS data,"This just links to another site to download the data at SFPark. I don't think this is included in the MTA reset, but we could just grab this nightly and post natively to keep it simple for now??","This dataset contains locations and schedules of regular tow-away zones which apply at the blockface-level in San Francisco. It does not include temporary street closures which could result in towing. The dataset contains:Geospatial information for blockfaces with known tow schedulesTow schedules with starting and ending hours and days applicableAddress ranges for the blockface segmentThe centerline identifier of the street segment on which the blockface occursNotes, if known, to enhance the information about the regulation",Polygon,Street address,Municipal Transportation Agency,external dataset,https://data.sfgov.org/d/qfjw-f9af,As needed,#N/A,,,,,,,,,
Automate to Table,Jeff Johnson,pf3h-w4up,Addresses - Enterprise Addressing System,,"Active base addresses from San Francisco's Enterprise Addressing System, This does not include sub-addresses, such as units.  Updated nightly.See eas_addresses_with_units for records with units.",Point,Latitude/longitude,Technology,external dataset,https://data.sfgov.org/d/pf3h-w4up,,TIS-0001,,,,,,,,,
Automate to Table,Jeff Johnson,kvej-w5kb,Addresses with Units - Enterprise Addressing System (EAS),,"All active addresses from the City's Enterprise Addressing System, including sub-addresses, such as units. Includes references to parcel and street centerline data.  Updated nightly.See EAS Base Addresses for base addresses not including units.",Point,Latitude/longitude,Technology,external dataset,https://data.sfgov.org/d/kvej-w5kb,Weekly,TIS-0002,,,,,,,,,
Automate to Table,Jeff Johnson,p3y3-5iuu,Updated Treasure Island Addresses and Building Numbers,"This is just an Excel file for reference. Couldn't tell if this was something that changed regularly, but we should just post as table to the portal","List of addresses, building numbers, and building references on Treasure Island.",Addresses,Street address,Technology,external dataset,https://data.sfgov.org/d/p3y3-5iuu,As needed,TIS-0042,,,,,,,,,
Automate to Table,Jeff Johnson,snrq-gvyd,Street Intersections (Zipped Shapefile Format),,This layer has 2 or more records for each intersection of the street centerline network. There is a record for each street name that intersects with a node.,Point,Latitude/longitude,Public Works,external dataset,https://data.sfgov.org/d/snrq-gvyd,As needed,DPW-0032,,,,,,,,,
Automate to Table,Jeff Johnson,zst2-f24q,Street Nodes (Zipped Shapefile Format),,This data represents the starting and ending nodes of the Basemap Street Segments with the Centerline Network Number Unique ID.,Point,Latitude/longitude,Public Works,external dataset,https://data.sfgov.org/d/zst2-f24q,As needed,DPW-0031,,,,,,,,,
Automate to Table,Jeff Johnson,bkgs-xaqe,San Francisco Wind Monitoring Data - Current,"Both current and prior year have a standard CSV file output for different stations. Ideally we would have one dataset with current and historic data keyed by monitoring station and time. In a worst case scenario, we can leave this as is and reset later with PUC.","Data measured by weather stations installed by the SFPUC that have wind monitoring located throughout San Francisco and on SFPUC-owned land. Parameters recorded include: wind speed, wind direction, ambient temperature, and solar irradiance.",Point,Latitude/longitude,Public Utilities Commission,external dataset,https://data.sfgov.org/d/bkgs-xaqe,As needed,PUC-0011,,,,,,,,,
Automate to Table,Jeff Johnson,rabs-nyxp,San Francisco Wind Monitoring Data - Prior Year,,"Data measured by weather stations installed by the SFPUC that have wind monitoring located throughout San Francisco and on SFPUC-owned land. Parameters recorded include: wind speed, wind direction, ambient temperature, and solar irradiance.",Point,Latitude/longitude,Public Utilities Commission,external dataset,https://data.sfgov.org/d/rabs-nyxp,Not updated (historical only),PUC-0012,,,,,,,,,
Automate to Table,mikewynne,kbd3-q5an,Appeals,"This is a shapefile with polygons representing the project appealed, but it will be useful to have this as a table and reference the geography, also this is now included in the planning records after Oct 2015.","Planning Projects, Building Permits and Zoning Determinations appealed to the San Francisco Board of Appeals.  Zipped GIS shapefile format.  Click the 'ZIP' button to download.  Recent appeals of planning projects or zoning determinations (since Oct 16, 2015) are included in the  Planning Records dataset: https://data.sfgov.org/Housing-and-Buildings/Planning-Department-Records-Including-Projects-Ent/ip6z-2cph",Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/kbd3-q5an,Weekly,CPC-0002,,,,,,,,,
Automate to Table,mikewynne,a229-rspw,Green Roofs in San Francisco,,This layer is the data feeding into the San Francisco Green Roofs web map.  This map and further information about green roofs in San Francisco can be found at the Planning Department's Green Roofs website: http://www.sf-planning.org/index.aspx?page=3839.  If you know of any other green roofs in San Francisco please contact Andrew Perry (Andrew.Perry@sfgov.org) and he will add it to the map.,Point,Street address,Planning,external dataset,https://data.sfgov.org/d/a229-rspw,As needed,CPC-0117,,,,,,,,,
Automate to Table,mikewynne,55um-v9vc,Privately Owned Public Open Space (POPOS) and Public Art,,"Privately-owned public open spaces (POPOS) are publicly accessible spaces in forms of plazas, terraces, atriums, small parks, and even snippets that are provided and maintained by private developers. In San Francisco, POPOS mostly appear in the Downtown office district area. Prior to 1985, developers provided POPOS under three general circumstances: voluntarily, in exchange for a density bonus, or as a condition of approval. The 1985 Downtown Plan created the first systemic requirements for developers to provide publicly accessible open space as a part of projects in C-3 Districts. The goal was to provide in the downtown quality open space in sufficient quantity and variety to meet the needs of downtown workers, residents and visitors.The POPOs data is available in Google KMZ and GIS Shapefile formats.  The zip file contains a .dbf file which can be viewed in Excel or other spreadsheet software.  The zip also contains a Google KMZ file of Public Artworks provided as part of the Downtown Plan requirement.  Download the data by clicking on the 'ZIP' button at the top right of this page.For more information please visit the POPOS and Public Art website at http://popos.sfplanning.org",Point,Latitude/longitude,Planning,external dataset,https://data.sfgov.org/d/55um-v9vc,As needed,CPC-0005,,,,,,,,,
One Time Reset,Information & Analysis Group (IAG) - SFPlanning,pucn-j93j,2014 Housing Inventory,"This is not a shapefile, but has lat/long in a spreadsheet. We'll likely want to save this for later. I can coordinate with the IAG at Planning to make sure this gets reset. They've already documented this data in past iterations.","This report is the 45th in the series and describes San Francisco�۪s housing supply.  Housing Inventory data accounts for new housing construction, demolitions, and alterations in a consistent format for analysis of housing production trends.  Net housing unit gains are reported citywide, by zoning classification, and by planning district.  Other areas covered include affordable housing production, condominium conversions, and changes to the residential hotel stock.  In addition, lists of major housing projects completed and approved for construction in 2014 are provided.  A list of affordable housing projects in the pipeline (projects in various stages of review or pre-construction planning) is included to provide a picture of likely housing construction activity in the near future.",Point,Street address,Planning,external dataset,https://data.sfgov.org/d/pucn-j93j,Annually,CPC-0116,,,,,,,,,
One Time Reset,Jeff Johnson,9q84-kc2y,San Francisco ZIP Codes (Zipped Shapefile Format),,San Francisco ZIP Code Areas. Matched to city streets and lots by Department of Planning.,Polygon,Zip code,Technology,external dataset,https://data.sfgov.org/d/9q84-kc2y,As needed,TIS-0054,,,,,,,,,
One Time Reset,mikewynne,565e-yudf,Areas Damaged by Fire Following 1906 Earthquake,,"GIS (shapefile) boundary of areas damaged by fire following the 1906 earthquake.

This layer was digitized from a raster image of the historic paper map entitled ""San Francisco, California, showing the areas destroyed by fire, April 18-21, 1906"".  The paper map was published by R.J. Waters & Co. in 1906. Scale [ca. 1:21,000].   Raster map downloaded from the Harvard Map Collection, Harvard College Library, Cambridge, Massachusetts: http://ids.lib.harvard.edu/ids/view/7271039?buttons=y",Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/565e-yudf,Not updated (historical only),CPC-0027,,,,,,,,,
One Time Reset,mikewynne,wvqx-t7yi,California Register Districts,,Districts that are either listed or determined eligible to be listed on the California Register by San Francisco Planning Department preservation staff.  Data is in a zipped GIS shapefile format.,Polygon,Other,Planning,external dataset,https://data.sfgov.org/d/wvqx-t7yi,As needed,CPC-0128,,,,,,,,,
One Time Reset,mikewynne,m7uw-gq4m,Coastal Zone Area,,Coastal Zone Area The Coastal Zone Area is a component of the Zoning Map which in turn is a key component of the San Francisco Planning Code.  The Zoning Map comprises: - Zoning Districts - Height and Bulk Districts - Special Use Districts - Preservation Districts - Coastal Zone Area - Special Sign Districts The official Zoning Map can be found in the San Francisco Planning Code: http://planningcode.sfplanning.org (click on the links under ZONING MAPS on the left navigation column).,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/m7uw-gq4m,As needed,CPC-0015,,,,,,,,,
One Time Reset,mikewynne,qbry-dib5,Conservation Districts (as listed in Article 11 of the San Francisco Planning Code),,Conservation Districts as defined and listed in Article 11 of the San Francisco Planning Code (http://planningcode.sfplanning.org).  Data are in zipped GIS shapefile format.,Polygon,Other,Planning,external dataset,https://data.sfgov.org/d/qbry-dib5,As needed,CPC-0016,,,,,,,,,
One Time Reset,mikewynne,3n7h-3jam,Green Connections Network,,"Green Connections aims to increase access to parks, open spaces, and the waterfront by envisioning a network of ���green connectors�۪ ��� city streets that will be upgraded incrementally over the next 20 years to make it safer and more pleasant to travel to parks by walking, biking, and other forms of active transportation. The dataset is a zipped GIS shapefile of the Green Connections Network which is shown in this map: http://www.sf-planning.org/ftp/files/Citywide/green_connections/GC_Final_Network_Map_03-2014.pdf.  Further information can be found on the Green Connections website: http://greenconnections.sfplanning.org",Polyline,Intersection or street segment,Planning,external dataset,https://data.sfgov.org/d/3n7h-3jam,Not updated (historical only),CPC-0114,,,,,,,,,
One Time Reset,mikewynne,i98m-w7a5,Historic Height & Bulk Districts - 2009,,Historic Height & Bulk Districts from 2009.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/i98m-w7a5,Not updated (historical only),CPC-0035,,,,,,,,,
One Time Reset,mikewynne,c9bf-cizd,Historic Height & Bulk Districts - 2010,,Historic Height & Bulk Districts from 2010.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/c9bf-cizd,Not updated (historical only),CPC-0036,,,,,,,,,
One Time Reset,mikewynne,e663-i9g9,Historic Height & Bulk Districts - 2012,,Historic Height & Bulk Districts from 2012.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/e663-i9g9,Not updated (historical only),CPC-0037,,,,,,,,,
One Time Reset,mikewynne,43bp-iq6f,Historic Height & Bulk Districts - 2014,,Historic Height & Bulk Districts from 2014.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/43bp-iq6f,Not updated (historical only),CPC-0038,,,,,,,,,
One Time Reset,mikewynne,izsx-unc3,Historic Special Use Districts - 2010,,Special Use Districts.  Part of the San Francisco Planning Code.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/izsx-unc3,Not updated (historical only),CPC-0051,,,,,,,,,
One Time Reset,mikewynne,mtwf-s29s,Historic Special Use Districts - 2011,,Special Use Districts from 2011.  Part of the San Francisco Planning Code.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/mtwf-s29s,Not updated (historical only),CPC-0053,,,,,,,,,
One Time Reset,mikewynne,vnzm-hfs4,Historic Special Use Districts - 2012,,Special Use Districts from 2012.  Part of the San Francisco Planning Code.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/vnzm-hfs4,Not updated (historical only),CPC-0054,,,,,,,,,
One Time Reset,mikewynne,9v39-fvhj,Historic Special Use Districts - 2014,,Special Use Districts from 2014.  Part of the San Francisco Planning Code.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/9v39-fvhj,Not updated (historical only),CPC-0050,,,,,,,,,
One Time Reset,mikewynne,xmit-gfre,Historic Special Use Districts - 2015,,Special Use Districts from Jan 2015.  Part of the San Francisco Planning Code.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/xmit-gfre,Not updated (historical only),CPC-0052,,,,,,,,,
One Time Reset,mikewynne,j87r-bnvk,Historic Special Use Districts -2013,,Special Use Districts from 2013.  Part of the San Francisco Planning Code.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/j87r-bnvk,Not updated (historical only),CPC-0049,,,,,,,,,
One Time Reset,mikewynne,v8bg-5zhd,Historic Zoning Districts - 1998,,Zoning Districts from 1998.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/v8bg-5zhd,Not updated (historical only),CPC-0060,,,,,,,,,
One Time Reset,mikewynne,gcpt-mgqv,Historic Zoning Districts - 2000,,Zoning Districts from 2000.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/gcpt-mgqv,Not updated (historical only),CPC-0061,,,,,,,,,
One Time Reset,mikewynne,rbck-gwdh,Historic Zoning Districts - 2001,,Zoning Districts from 2001.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/rbck-gwdh,Not updated (historical only),CPC-0063,,,,,,,,,
One Time Reset,mikewynne,wpnz-8u3b,Historic Zoning Districts - 2002,,Zoning Districts from 2002.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/wpnz-8u3b,Not updated (historical only),CPC-0064,,,,,,,,,
One Time Reset,mikewynne,hnym-m7fd,Historic Zoning Districts - 2003,,Zoning Districts from 2003.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/hnym-m7fd,Not updated (historical only),CPC-0065,,,,,,,,,
One Time Reset,mikewynne,grqq-8kyb,Historic Zoning Districts - 2004,,Zoning Districts from 1998.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/grqq-8kyb,Not updated (historical only),CPC-0066,,,,,,,,,
One Time Reset,mikewynne,2hir-wy7a,Historic Zoning Districts - 2005,,Zoning Districts from 2005.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/2hir-wy7a,Not updated (historical only),CPC-0068,,,,,,,,,
One Time Reset,mikewynne,mhgz-95md,Historic Zoning Districts - 2006,,Zoning Districts from 2006.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/mhgz-95md,Not updated (historical only),CPC-0069,,,,,,,,,
One Time Reset,mikewynne,ij8k-ebuf,Historic Zoning Districts - 2007,,Zoning Districts from 2007.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/ij8k-ebuf,Not updated (historical only),CPC-0070,,,,,,,,,
One Time Reset,mikewynne,pqqd-d9ax,Historic Zoning Districts - 2008,,Zoning Districts from 2008.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/pqqd-d9ax,Not updated (historical only),CPC-0071,,,,,,,,,
One Time Reset,mikewynne,45f4-thqw,Historic Zoning Districts - 2009,,Zoning Districts from 2009.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/45f4-thqw,Not updated (historical only),CPC-0072,,,,,,,,,
One Time Reset,mikewynne,ihw6-gjtv,Historic Zoning Districts - 2010,,Zoning Districts from 2010.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/ihw6-gjtv,Not updated (historical only),CPC-0074,,,,,,,,,
One Time Reset,mikewynne,v7jx-ukh7,Historic Zoning Districts - 2011,,Zoning Districts from 2011.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/v7jx-ukh7,Not updated (historical only),CPC-0059,,,,,,,,,
One Time Reset,mikewynne,79nf-bzip,Historic Zoning Districts - 2012,,Zoning Districts from 2012.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/79nf-bzip,Not updated (historical only),CPC-0075,,,,,,,,,
One Time Reset,mikewynne,8szd-vpux,Historic Zoning Districts - 2013,,Zoning Districts from 2013.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/8szd-vpux,Not updated (historical only),CPC-0133,,,,,,,,,
One Time Reset,mikewynne,myd7-vgee,Historic Zoning Districts - 2014,,Zoning Districts from 2014.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/myd7-vgee,Not updated (historical only),CPC-0132,,,,,,,,,
One Time Reset,mikewynne,nm6c-vvjw,Historic Zoning Districts - Jan 2015,,Zoning Districts from Jan 2015.  Part of the San Francisco Planning Code.  Data is a zipped GIS shapefile.,Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/nm6c-vvjw,Not updated (historical only),CPC-0131,,,,,,,,,
One Time Reset,mikewynne,aydi-684q,Historical Zoning Districts - April 2000,,The Zoning Districts are a component of the Zoning Map which in turn is a key component of the San Francisco Planning Code.,Polygon,Zoning district,Planning,external dataset,https://data.sfgov.org/d/aydi-684q,Not updated (historical only),CPC-0008,,,,,,,,,
One Time Reset,mikewynne,8qm4-67mg,Historical Zoning Districts - March 2005,,Historical Zoning Districts - March 2005.,Polygon,Zoning district,Planning,external dataset,https://data.sfgov.org/d/8qm4-67mg,Not updated (historical only),CPC-0007,,,,,,,,,
One Time Reset,mikewynne,286s-n9rt,National Register Districts,,Districts that are either listed or determined eligible to be listed on the National Register by San Francisco Planning Department preservation staff.  Data is in a zipped GIS shapefile format.,Polygon,Other,Planning,external dataset,https://data.sfgov.org/d/286s-n9rt,As needed,CPC-0127,,,,,,,,,
One Time Reset,mikewynne,qdbj-mk7w,Neighborhood Specific Impact Fee Areas,,"GIS (shapefile) data of neighborhood specific impact fee areas. The City imposes development impact fees on development projects in order to mitigate the impacts caused by new development on public services, infrastructure and facilities. For example, the burden on the transit system created by a new office building is offset through the payment of an impact fee used to improve MUNI.
Impact Fees are different from, and apply in addition to, application fees, which are used to cover the cost of the City’s review of a given proposal. For the most part, impact fees are assessed by the Planning Department and are collected by the Department of Building Inspection (DBI) upon permit issuance.
Some impact fees apply throughout the City to various types of development projects. Others apply only in certain neighborhoods. Another type of impact fee only applies when a builder chooses to pay them in-lieu of meeting a particular Planning Code requirement (e.g. usable open space).",Polygon,Parcel (block/lot),Planning,external dataset,https://data.sfgov.org/d/qdbj-mk7w,As needed,CPC-0031,,,,,64,64,2mw3-yx9h,success,seems to be a weird mix of both polygons and multipolygon shapes
One Time Reset,mikewynne,itnw-7s2w,Planning Areas,,San Francisco Planning Department's Planning Areas.,Polygon,Neighborhood,Planning,external dataset,https://data.sfgov.org/d/itnw-7s2w,As needed,CPC-0134,,,,,,,,
